concept,category,filename1,HR_pp
snowflake,decorative,snowflake_exemplar1.jpg,0.7
whistle,tool,whistle_exemplar1.jpg,0.7
armor,clothing,armor_exemplar1.jpg,0.7
violin,musical instruments,violin_exemplar1.jpg,0.69
sarcophagus,decorative,sarcophagus_exemplar1.jpg,0.69
candle,household items,candle_exemplar1.jpg,0.69
tape,office tool,tape_exemplar1.jpg,0.69
handcuff,tool,handcuff_exemplar1.jpg,0.69
disk,electronics,disk_exemplar1.jpg,0.68
french press,kitchen items,french_press_exemplar1.jpg,0.68
bowler hat,clothing,bowler_hat_exemplar1.jpg,0.68
tuba,musical instruments,tuba_exemplar1.jpg,0.68
plunger,tool,plunger_exemplar1.jpg,0.67
saltshaker,kitchen items,saltshaker_exemplar1.jpg,0.67
cello,musical instruments,cello_exemplar1.jpg,0.66
saxophone,musical instruments,saxophone_exemplar1.jpg,0.66
belt,clothing,belt_exemplar1.jpg,0.65
money,household items,money_exemplar1.jpg,0.65
bell,musical instruments,bell_exemplar1.jpg,0.64
cowbell,musical instruments,cowbell_exemplar1.jpg,0.64
headband,clothing,headband_exemplar1.jpg,0.64
bassoon,musical instruments,bassoon_exemplar1.jpg,0.64
hourglass,tool,hourglass_exemplar1.jpg,0.64
rope,tool,rope_exemplar1.jpg,0.64
thimble,household items,thimble_exemplar1.jpg,0.64
pot of gold,decorative,pot_of_gold_exemplar1.jpg,0.64
tambourine,musical instruments,tambourine_exemplar1.jpg,0.64
carabiner,tool,carabiner_exemplar1.jpg,0.64
joystick,electronics,joystick_exemplar1.jpg,0.64
gear,tool,gear_exemplar1.jpg,0.63
cigar,household items,cigar_exemplar1.jpg,0.63
pushpin,office tool,pushpin_exemplar1.jpg,0.63
totem pole,decorative,totempole_exemplar1.jpg,0.62
globe,decorative,globe_exemplar1.jpg,0.62
oil can,tool,oil_can_exemplar1.jpg,0.62
walker,tool,walker_exemplar1.jpg,0.62
cash register,office tool,cash_register_exemplar1.jpg,0.62
cowboy boot,clothing,cowboy_boot_exemplar1.jpg,0.62
lock cutters,tool,lock_cutters_exemplar1.jpg,0.62
cellphone,electronics,cellphone_exemplar1.jpg,0.61
handbell,musical instruments,handbell_exemplar1.jpg,0.61
shaker,kitchen items,shaker_exemplar1.jpg,0.61
anchor,tool,anchor_exemplar1.jpg,0.61
diaper,baby,diaper_exemplar1.jpg,0.61
refrigerator,appliances,refrigerator_exemplar1.jpg,0.61
wheelbarrow,tool,wheelbarrow_exemplar1.jpg,0.61
slot machine,electronics,slot_machine_exemplar1.jpg,0.6
flask,kitchen items,flask_exemplar1.jpg,0.6
harp,musical instruments,harp_exemplar1.jpg,0.6
mask,clothing,mask_exemplar1.jpg,0.6
mixer,appliances,mixer_exemplar1.jpg,0.6
pinata,decorative,pinata_exemplar1.jpg,0.6
stamp,tool,stamp_exemplar1.jpg,0.6
syringe,tool,syringe_exemplar1.jpg,0.6
beret,clothing,beret_exemplar1.jpg,0.59
tanktop,clothing,tanktop_exemplar1.jpg,0.59
crowbar,tool,crowbar_exemplar1.jpg,0.59
hollywood star,decorative,hollywood_star_exemplar1.jpg,0.59
laptop,electronics,laptop_exemplar1.jpg,0.59
pick,tool,pick_exemplar1.jpg,0.59
scoop,household items,scoop_exemplar1.jpg,0.59
cane,tool,cane_exemplar1.jpg,0.58
drum set,musical instruments,drum_set_exemplar1.jpg,0.58
stroller,baby,stroller_exemplar1.jpg,0.58
fondue fork,kitchen items,fondue_fork_exemplar1.jpg,0.58
dryer,appliances,dryer_exemplar1.jpg,0.58
hamster cage,household items,hamster_cage_exemplar1.jpg,0.58
razor,tool,razor_exemplar1.jpg,0.58
computer mouse,electronics,computer_mouse_exemplar1.jpg,0.58
flower pot,household items,flower_pot_exemplar1.jpg,0.58
swiss army knife,tool,swiss_army_knife_exemplar1.jpg,0.58
frying pan,kitchen items,frying_pan_exemplar1.jpg,0.57
acoustic guitar,musical instruments,acoustic_guitar_exemplar1.jpg,0.57
bowl,kitchen items,bowl_exemplar1.jpg,0.57
camera lens,electronics,camera_lens_exemplar1.jpg,0.57
coin,household items,coin_exemplar1.jpg,0.57
mallet,tool,mallet_exemplar1.jpg,0.57
metronome,musical instruments,metronome_exemplar1.jpg,0.57
organ,musical instruments,organ_exemplar1.jpg,0.57
rolling pin,kitchen items,rolling_pin_exemplar1.jpg,0.57
safe,tool,safe_exemplar1.jpg,0.57
corkscrew,kitchen items,corkscrew_exemplar1.jpg,0.56
musical keyboard,musical instruments,musical_keyboard_exemplar1.jpg,0.56
yarn,tool,yarn_exemplar1.jpg,0.56
drum,musical instruments,drum_exemplar1.jpg,0.56
pocket watch,clothing,pocketwatch_exemplar1.jpg,0.56
boombox,electronics,boombox_exemplar1.jpg,0.56
fan,appliances,fan_exemplar1.jpg,0.56
grater,kitchen items,grater_exemplar1.jpg,0.56
lantern,tool,lantern_exemplar1.jpg,0.56
wrench,tool,wrench_exemplar1.jpg,0.55
coffeemaker,appliances,coffeemaker_exemplar1.jpg,0.55
dragon statue,decorative,dragon_statue_exemplar1.jpg,0.55
bar of soap,household items,bar_of_soap_exemplar1.jpg,0.55
trowel,tool,trowel_exemplar1.jpg,0.55
trumpet,musical instruments,trumpet_exemplar1.jpg,0.55
jukebox,musical instruments,jukebox_exemplar1.jpg,0.54
viking helmet,clothing,viking_helmet_exemplar1.jpg,0.54
accordion,musical instruments,accordion_exemplar1.jpg,0.54
dress shoe,clothing,dress_shoe_exemplar1.jpg,0.54
headphone,electronics,headphone_exemplar1.jpg,0.54
swimsuit,clothing,swimsuit_exemplar1.jpg,0.54
blouse,clothing,blouse_exemplar1.jpg,0.53
telescope,tool,telescope_exemplar1.jpg,0.53
flashlight,tool,flashlight_exemplar1.jpg,0.53
oven,appliances,oven_exemplar1.jpg,0.53
chainsaw,appliances,chainsaw_exemplar1.jpg,0.53
inkwell,household items,inkwell_exemplar1.jpg,0.53
telephone,electronics,telephone_exemplar1.jpg,0.53
hand saw,tool,hand_saw_exemplar1.jpg,0.52
radio,electronics,radio_exemplar1.jpg,0.52
axe,tool,axe_exemplar1.jpg,0.52
microphone,electronics,microphone_exemplar1.jpg,0.52
bracelet,clothing,bracelet_exemplar1.jpg,0.52
toothbrush,household items,toothbrush_exemplar1.jpg,0.52
hairdryer,tool,hairdryer_exemplar1.jpg,0.52
hammer,tool,hammer_exemplar1.jpg,0.51
loafer,clothing,loafer_exemplar1.jpg,0.51
dustpan,household items,dustpan_exemplar1.jpg,0.51
electric guitar,musical instruments,electric_guitar_exemplar1.jpg,0.51
pliers,tool,pliers_exemplar1.jpg,0.51
wire,tool,wire_exemplar1.jpg,0.51
flute,musical instruments,flute_exemplar1.jpg,0.5
lawnmower,appliances,lawnmower_exemplar1.jpg,0.5
lighter,tool,lighter_exemplar1.jpg,0.5
needle,household items,needle_exemplar1.jpg,0.5
rake,tool,rake_exemplar1.jpg,0.5
toaster oven,appliances,toaster_oven_exemplar1.jpg,0.5
vase,household items,vase_exemplar1.jpg,0.5
